,0
charge_ratio,0.14490870254781107
MonthlyCharges,0.11968124326890406
TotalCharges,0.11866715088475893
tenure,0.109641331519833
is_month_to_month,0.0732543932921632
InternetService_Fiber optic,0.03892456900194323
Contract_Two year,0.03414536805975432
PaymentMethod_Electronic check,0.027942240617832306
num_services,0.025987476147398127
gender_Male,0.021862817995669668
PaperlessBilling_Yes,0.021391281778294354
Partner_Yes,0.017952886421553047
OnlineSecurity_Yes,0.016863068648827816
OnlineBackup_Yes,0.016589584042920068
TechSupport_Yes,0.0160840722959922
Dependents_Yes,0.015946045796824238
SeniorCitizen,0.015004104701425191
DeviceProtection_Yes,0.01427384852366632
StreamingMovies_Yes,0.014210196688465043
StreamingTV_Yes,0.013483430312695086
Contract_One year,0.012918083723161911
PaymentMethod_Credit card (automatic),0.012382080240683437
MultipleLines_Yes,0.012215546990538806
PaymentMethod_Mailed check,0.01118151183632918
tenure_segment_loyal,0.009518321819813234
InternetService_No,0.008028037977932934
DeviceProtection_No internet service,0.0070957707689553624
OnlineSecurity_No internet service,0.0069060736570426325
StreamingTV_No internet service,0.006899177191161326
OnlineBackup_No internet service,0.006487900652374814
tenure_segment_established,0.0059788376314283
TechSupport_No internet service,0.005697726477244792
StreamingMovies_No internet service,0.005682441858906059
tenure_segment_developing,0.005461180814598239
MultipleLines_No phone service,0.0033738642121669445
PhoneService_Yes,0.0033596316009306903
